Cheapest,Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,outbound 3 airport departure,outbound 3 airport arrival,outbound 3 time departure,outbound 3 time arrival,outbound 3 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number,inbound 3 airport departure,inbound 3 airport arrival,inbound 3 time departure,inbound 3 time arrival,inbound 3 flight number
True,1323.39,395.39,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 08:10,2024-10-15 08:50,UX2120,LPA,MAD,2024-10-15 10:00,2024-10-15 13:45,UX9161,MAD,JFK,2024-10-15 15:50,2024-10-15 18:05,UX91
False,1393.39,395.39,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 08:10,2024-10-15 08:50,UX2120,LPA,MAD,2024-10-15 10:00,2024-10-15 13:45,UX9161,MAD,JFK,2024-10-15 15:50,2024-10-15 18:05,UX91
False,1393.39,395.39,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 08:10,2024-10-15 08:50,UX2120,LPA,MAD,2024-10-15 10:00,2024-10-15 13:45,UX9161,MAD,JFK,2024-10-15 15:50,2024-10-15 18:05,UX91
False,1464.39,395.39,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 08:10,2024-10-15 08:50,UX2120,LPA,MAD,2024-10-15 10:00,2024-10-15 13:45,UX9161,MAD,JFK,2024-10-15 15:50,2024-10-15 18:05,UX91
False,2004.32,394.32,JFK,MAD,2024-10-12 19:30,2024-10-13 08:45,UX3392,MAD,TFN,2024-10-13 11:40,2024-10-13 13:35,UX9118,TFN,FUE,2024-10-13 15:20,2024-10-13 16:10,UX2139,FUE,LPA,2024-10-15 08:10,2024-10-15 08:50,UX2120,LPA,MAD,2024-10-15 10:00,2024-10-15 13:45,UX9161,MAD,JFK,2024-10-15 15:50,2024-10-15 18:05,UX91
False,2075.32,394.32,JFK,MAD,2024-10-12 19:30,2024-10-13 08:45,UX3392,MAD,TFN,2024-10-13 11:40,2024-10-13 13:35,UX9118,TFN,FUE,2024-10-13 15:20,2024-10-13 16:10,UX2139,FUE,LPA,2024-10-15 08:10,2024-10-15 08:50,UX2120,LPA,MAD,2024-10-15 10:00,2024-10-15 13:45,UX9161,MAD,JFK,2024-10-15 15:50,2024-10-15 18:05,UX91
False,2081.80,404.80,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 10:30,2024-10-15 11:10,UX2122,LPA,MAD,2024-10-15 12:20,2024-10-15 16:10,UX9018,MAD,JFK,2024-10-16 10:45,2024-10-16 13:30,UX3391
False,2081.80,404.80,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 10:30,2024-10-15 11:10,UX2122,LPA,MAD,2024-10-15 18:00,2024-10-15 21:50,UX9165,MAD,JFK,2024-10-16 10:45,2024-10-16 13:30,UX3391
False,2151.80,404.80,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 10:30,2024-10-15 11:10,UX2122,LPA,MAD,2024-10-15 12:20,2024-10-15 16:10,UX9018,MAD,JFK,2024-10-16 10:45,2024-10-16 13:30,UX3391
False,2151.80,404.80,JFK,MAD,2024-10-12 22:05,2024-10-13 11:10,UX92,MAD,LPA,2024-10-13 15:05,2024-10-13 17:00,UX9164,LPA,FUE,2024-10-14 07:00,2024-10-14 07:40,UX2119,FUE,LPA,2024-10-15 10:30,2024-10-15 11:10,UX2122,LPA,MAD,2024-10-15 18:00,2024-10-15 21:50,UX9165,MAD,JFK,2024-10-16 10:45,2024-10-16 13:30,UX3391
False,2762.73,403.73,JFK,MAD,2024-10-12 19:30,2024-10-13 08:45,UX3392,MAD,TFN,2024-10-13 11:40,2024-10-13 13:35,UX9118,TFN,FUE,2024-10-13 15:20,2024-10-13 16:10,UX2139,FUE,LPA,2024-10-15 10:30,2024-10-15 11:10,UX2122,LPA,MAD,2024-10-15 12:20,2024-10-15 16:10,UX9018,MAD,JFK,2024-10-16 10:45,2024-10-16 13:30,UX3391
False,2762.73,403.73,JFK,MAD,2024-10-12 19:30,2024-10-13 08:45,UX3392,MAD,TFN,2024-10-13 11:40,2024-10-13 13:35,UX9118,TFN,FUE,2024-10-13 15:20,2024-10-13 16:10,UX2139,FUE,LPA,2024-10-15 10:30,2024-10-15 11:10,UX2122,LPA,MAD,2024-10-15 18:00,2024-10-15 21:50,UX9165,MAD,JFK,2024-10-16 10:45,2024-10-16 13:30,UX3391
